nodes;channels;topology;policy;TSR;ASD_s;LLR;DP
6;2;star;trusted;0.2912;0.2663;0.5572;0.009
6;8;full;trusted;0.8154;0.1877;0.5461;0.0032
6;8;line;trusted;0.6795;0.2081;0.5801;0.0141
6;8;ring;trusted;0.9595;0.1661;0.5101;0.0059
6;8;star;trusted;0.8154;0.1877;0.5461;0.0052
6;14;full;trusted;0.98;0.163;0.625;0.0023
6;14;line;trusted;0.9708;0.1644;0.6273;0.0093
6;14;ring;trusted;0.98;0.163;0.625;0.0046
6;14;star;trusted;0.98;0.163;0.625;0.0037
6;20;full;trusted;0.98;0.163;0.745;0.0023
6;20;line;trusted;0.9708;0.1644;0.7473;0.0093
6;20;ring;trusted;0.98;0.163;0.745;0.0046
6;20;star;trusted;0.98;0.163;0.745;0.0037
8;2;full;trusted;0.2422;0.2737;0.5694;0.0059
8;2;line;trusted;0.2019;0.2797;0.5795;0.0239
8;2;ring;trusted;0.285;0.2672;0.5587;0.0115
8;2;star;trusted;0.2422;0.2737;0.5694;0.0094
8;8;full;trusted;0.627;0.216;0.5933;0.004
8;8;line;trusted;0.5225;0.2316;0.6194;0.0169
8;8;ring;trusted;0.7378;0.1993;0.5656;0.0075
8;8;star;trusted;0.627;0.216;0.5933;0.0064
8;14;full;trusted;0.98;0.163;0.625;0.0025
8;14;line;trusted;0.8431;0.1835;0.6592;0.0111
8;14;ring;trusted;0.98;0.163;0.625;0.0051
8;14;star;trusted;0.98;0.163;0.625;0.004
8;20;full;trusted;0.98;0.163;0.745;0.0023
8;20;line;trusted;0.95;0.1675;0.7525;0.0094
8;20;ring;trusted;0.98;0.163;0.745;0.0046
8;20;star;trusted;0.98;0.163;0.745;0.0037
10;2;full;trusted;0.2129;0.2781;0.5768;0.006
10;2;line;trusted;0.1774;0.2834;0.5856;0.0244
10;2;ring;trusted;0.2505;0.2724;0.5674;0.0118
10;2;star;trusted;0.2129;0.2781;0.5768;0.0096
10;8;full;trusted;0.5155;0.2327;0.6211;0.0045
10;8;line;trusted;0.4296;0.2456;0.6426;0.0187
10;8;ring;trusted;0.6066;0.219;0.5984;0.0085
10;8;star;trusted;0.5155;0.2327;0.6211;0.0072
10;14;full;trusted;0.8181;0.1873;0.6655;0.0032
10;14;line;trusted;0.6817;0.2077;0.6996;0.0137
10;14;ring;trusted;0.9626;0.1656;0.6293;0.0057
10;14;star;trusted;0.8181;0.1873;0.6655;0.0051
10;20;full;trusted;0.98;0.163;0.745;0.0023
10;20;line;trusted;0.9339;0.1699;0.7565;0.0095
10;20;ring;trusted;0.98;0.163;0.745;0.0046
10;20;star;trusted;0.98;0.163;0.745;0.0037
4;2;full;weighted;0.2925;0.3561;0.5569;0.0054
4;2;line;weighted;0.2275;0.3659;0.5731;0.0223
4;2;ring;weighted;0.26;0.361;0.565;0.011
4;2;star;weighted;0.286;0.3571;0.5585;0.0087
4;8;full;weighted;0.9;0.265;0.525;0.0024
4;8;line;weighted;0.7;0.295;0.575;0.0111
4;8;ring;weighted;0.8;0.28;0.55;0.0052
4;8;star;weighted;0.88;0.268;0.53;0.004
4;14;full;weighted;0.9;0.265;0.645;0.0024
4;14;line;weighted;0.7;0.295;0.695;0.0111
4;14;ring;weighted;0.8;0.28;0.67;0.0052
4;14;star;weighted;0.88;0.268;0.65;0.004
4;20;full;weighted;0.9;0.265;0.765;0.0024
4;20;line;weighted;0.7;0.295;0.815;0.0111
4;20;ring;weighted;0.8;0.28;0.79;0.0052
4;20;star;weighted;0.88;0.268;0.77;0.004
6;2;full;weighted;0.2184;0.3672;0.5754;0.0058
6;2;line;weighted;0.1699;0.3745;0.5875;0.0238
6;2;ring;weighted;0.1942;0.3709;0.5815;0.0118
6;2;star;weighted;0.2136;0.368;0.5766;0.0093
6;8;full;weighted;0.6116;0.3083;0.5971;0.0037
6;8;line;weighted;0.4757;0.3286;0.6311;0.0157
6;8;ring;weighted;0.5436;0.3185;0.6141;0.0076
6;8;star;weighted;0.598;0.3103;0.6005;0.0059
6;14;full;weighted;0.8737;0.2689;0.6516;0.0025
6;14;line;weighted;0.6795;0.2981;0.7001;0.0112
6;14;ring;weighted;0.7766;0.2835;0.6758;0.0053
6;14;star;weighted;0.8543;0.2719;0.6564;0.004
6;20;full;weighted;0.8737;0.2689;0.7716;0.0025
6;20;line;weighted;0.6795;0.2981;0.8201;0.0112
6;20;ring;weighted;0.7766;0.2835;0.7958;0.0053
6;20;star;weighted;0.8543;0.2719;0.7764;0.004
8;2;full;weighted;0.1817;0.3727;0.5846;0.006
8;2;line;weighted;0.1413;0.3788;0.5947;0.0246
8;2;ring;weighted;0.1615;0.3758;0.5896;0.0122
8;2;star;weighted;0.1777;0.3734;0.5856;0.0097
8;8;full;weighted;0.4703;0.3295;0.6324;0.0043
8;8;line;weighted;0.3657;0.3451;0.6586;0.0183
8;8;ring;weighted;0.418;0.3373;0.6455;0.0089
8;8;star;weighted;0.4598;0.331;0.6351;0.007
8;14;full;weighted;0.7588;0.2862;0.6803;0.0029
8;14;line;weighted;0.5902;0.3115;0.7225;0.0129
8;14;ring;weighted;0.6745;0.2988;0.7014;0.0061
8;14;star;weighted;0.7419;0.2887;0.6845;0.0047
8;20;full;weighted;0.855;0.2718;0.7763;0.0025
8;20;line;weighted;0.665;0.3003;0.8238;0.0113
8;20;ring;weighted;0.76;0.286;0.8;0.0053
8;20;star;weighted;0.836;0.2746;0.781;0.0041
